Group nationality,Group gender,Group age,Group special needs,Group Details," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Issue"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Refugee Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Team Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Issue"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Refugee Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Team Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Issue"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Refugee Recommendation"," Theme 1: Shrinking Protection Space
Refugee responses to shrinking protection space:Team Recommendation",Theme 1: Shrinking Protection SpaceRefugee responses to shrinking protection space:Issue,Theme 1: Shrinking Protection SpaceRefugee responses to shrinking protection space:Refugee recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:PA recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:Issue,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:Refugee recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:PA recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:Issue,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:Refugee recommendation,Theme 1: Shrinking Protection Space Refugee responses to shrinking protection space:PA recommendation," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityIssue"," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityRefugee Recommendation"," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityTeam Recommendation"," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityIssue "," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityRefugee Recommendation"," Theme 1: Shrinking Protection Space
Challenges to peaceful co-existence between refugees and host communityTeam Recommendation"," Theme 1: Shrinking Protection Space
Fraud:Issue"," Theme 1: Shrinking Protection Space
Fraud:Refugee Recommendation"," Theme 1: Shrinking Protection Space
Fraud:Team recommendation"," Theme 1: Shrinking Protection Space
Specific protection risks of Iraqis who arrived after June 2014 (if applicable):Issue"," Theme 1: Shrinking Protection Space
Specific protection risks of Iraqis who arrived after June 2014 (if applicable):Refugee Recommendation"," Theme 1: Shrinking Protection Space
Specific protection risks of Iraqis who arrived after June 2014 (if applicable):Team Recommendation","Theme 2: Community Based Protection Network
Community Based Complaint Mechanisms:Issue","Theme 2: Community Based Protection Network
Community Based Complaint Mechanisms:Refugee Recommendation","Theme 2: Community Based Protection Network
Community Based Complaint Mechanisms:Team Recommendation","Theme 2: Community Based Protection Network
Risk and coping mechanisms of refugees living in ITSs.Issue","Theme 2: Community Based Protection Network
Risk and coping mechanisms of refugees living in ITSs.Refugee Recommendation","Theme 2: Community Based Protection Network
Risk and coping mechanisms of refugees living in ITSs.Team Recommendation","Theme 2:  Community Based Protection Network
Short and long term needs/aspirations/plans of refugees:Issue","Theme 2: Community Based Protection Network
Short and long term needs/aspirations/plans of refugees:Refugee Recommendation","Theme 2: Community Based Protection Network
Short and long term needs/aspirations/plans of refugees:Team Recommendation","Theme 3: Protection – Assistance and Services
Access to services by refugees with disabilities (adult and children) and SGBV survivors: Issue","Theme 3: Protection – Assistance and Services
Access to services by refugees with disabilities (adult and children) and SGBV survivors: Refugee Recommendation","Theme 3: Protection – Assistance and Services
Access to services by refugees with disabilities (adult and children) and SGBV survivors: Team Recommendation","Theme 3: Impact of the Government’s new health policy
Impact of the Government’s new health policy:Issue","Theme 3: Protection – Assistance and Services
Impact of the Government’s new health policy:Refugee Recommendation","Theme 3: Protection – Assistance and Services
Impact of the Government’s new health policy:Team Recommendation","Theme 3: Protection – Assistance and Services
Refugee perceptions on home visits:Issue","Theme 3: Protection – Assistance and Services
Refugee perceptions on home visits:Refugee Recommendation","Theme 3: Protection – Assistance and Services
Refugee perceptions on home visits:Team Recommendation","Theme 3: Protection – Assistance and Services
Challenges posed by the increasing number of unaccompanied minors:Issue","Theme 3: Protection – Assistance and Services
Challenges posed by the increasing number of unaccompanied minors:Refugee Recommendation","Theme 3: Protection – Assistance and Services
Challenges posed by the increasing number of unaccompanied minors:Team Recommendation","Theme 3: Protection – Assistance and Services
Cash based interventions:Issue","Theme 3: Protection – Assistance and Services
Cash based interventions:Refugee Recommendation","Theme 3: Protection – Assistance and Services
Cash based interventions:Team Recommendation"
Syrians,Male and Female,Adolescents,None,,. Early marriage,,.Raise awareness on child rights protection standards and mechanisms; as well as harmful effects of early marriage,. Child labour among male adolescents (female education given priority),. Access to morning school and income generating activities for families so boys can go to school instead of working,. Create income generating activities for youth (m&f) and increase school capacity ,,,,,,,,,,,,,,,,,,,. Fraud: one incident ,,,,,,. Lack of awareness on complaints handling mechanisms/ parents only point of contact for complaints,,. Raise awareness on child protection mechanisms,. ITSs in 'Salem Village',,. UNHCR to examine ITSs in Salem Village,. Fear of lack opportunities for the future,,. Scale up skill building/recreational CSC activities ,,,,,,,,,,,,,,,
Syrians,Female,Adult,None,,. Sexual harassment ,,. Raise awareness on protection mechanisms,. Discrimination against children in school (by students and teachers) ,,. Sensitise teachers to child rights standards and protection issues facing refugees (empower teachers to address discrimination and harassment in the classrooms),. Inability to cover rent and basic needs ,,,,,,,,,,,,,,,,,,,,,,,,. Fear of reporting crime/discrimination to police,,. Raise awareness among refugees on their rights; sensitise police to human rights standards and protection issues of refugees,,,,. (a.) Education opportunities for children and youths (b.) cash assistance to cover rent (c.) quality healht care,,,,,,,,,,,,,,,,,
Syrians,Male and Female,Adult,None,Cash beneficiaries,. Lack of employment opportunities,. Increase financial assistance,,. Child labour among boys as a coping strategy for families struggling to meet basic needs,. Increase financial assistance,,. Fear of detention and deportation if caught working illegally ,. Legal aid on procedures for obtaining MOI cards ,. Provide legal aid on procedures for obtaining MOI cards ,,,,,,,,,,,,,,,,. Several incidents of fraud reported (bribe to get security cards),. Provide clear procedures on how to obtain MOI cards ,.  Provide clear procedures on how to obtain MOI cards ,,,,,,,,,,. (a.) Resettlement (b.) safe return to Syria,,,,,,,,,,,,,,,. Cash assistance insufficient to cover rent and basic needs,,
Syrians,Male and Female,Older Persons,None,,. Restricted movement outside Sahab,. Awareness raising on refugees' rights and entitlements ,,. Threats of being sent to camps,,. Awareness raising on refugees' rights and entitlements ,. Fear of deportation  linked to fear of issuing new MoI cards,,. Awareness raising on refugees' rights and entitlements ,,,,,,,,,,,. Cash for rent ,,. Limited access to school for children leading to child labour ,. Increase access to education for children ,. Provide school transportation feeds for children ,. Minor incidents of fraud,,. Awareness raising on refugees' rights and entitlements ,,,,. Strong community support network among Syrians ,,. Establish information sharing mechanism within Syrian community to better identify and address refugees' needs ,,,,. (a.) Pay for rent and access to quality health care (b.) Return to Syria ,,,. No access to services for PwD and ineffective needs assessments ,. Targeted services that meet specific needs of PwD,. Targeted services that meet specific needs of PwD,". Unaffordable health care, no emergency health care,  year waiting lists ",. Provide emergency healht care ,. Cash assistance to cover medical bills ,". Disatisfaction with Home Visits (rudeness, mis-judgement, false promises, no follow-up) ",,,,,,. Ineffective vulnerability assessment ,,". Ensure follow-up to Home Visits, avoid raising expectations"
Syrians,Male and Female,,PwD,,. Restricted movement due to disability and lack of MOI cards ,,,. Increase accesibility of services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. (a.) cash assistance to cover rent (b.) quality health care,,". Establish UNHCR or CSC focal point responsible for identifying needs of PwD; follow up on cases, identify needs properly, and make sure needed services are delivered with proper evaluation.",. Limited and or inadequate access to services targeting special needs of PwD,. Targeted services that meet special needs of PwD,. Increase services targeting special needs of PwD,. Negative view on new health policy ,". Request for special needs equipment, not just medicine",. Increase budget allocation for special needs equipment ,. Negative view on home visits (they raise false expectations),. Ensure follow-up to Home Visits ,. Staff specialised in issues concerning PwD to conduct Home Visits; strengthen capacity of staff conducting Home Visits,,,,,,
Syrians,Female,Adult,None,Cash beneficiaries,. Fear of deportation; lack of protection from police ,,. Raise awareness among refugees about their rights ,. Harassment against children and fear of children being kidnapped ,,. Raise awareness among refugees about their rights ,,,,,,,,,,,,,. Tensions with host community,,. Scale up CSC activities targeting Syrians and Jordanians,,,,. Several cases of fraud (caused by landlords and CBOs),,. Investigate cases of fraud concerning CBOs and raise awareness on (a.) laws related to tenancy agreements (b.) procedures for reporting fraud ,,,,. Awareness of UNHCR helpline but fear of reporting complaints to police. ,,. Raise awareness of all UNHCR complaints handling mechanisms; strenghten capacity of staff handling complaints handling mechanisms; sensitise police to protection issues facing refugees,,,,. (a.) cash assistance to cover rent (b.) quality health care (c.) safe school and home environment free from discrimination againt children ,,,. Limited and or inadequate access to services targeting special needs of PwD,,. Increase services targeting special needs of PwD,. Negative view on new health policy. Decrease in access to and quality of health care. ,,,. Negative view on Home Visits (no or slow follow-up),,,,,,. Families in Sahab only received blankets and heaters in winter ,. Request for cash based interventions.,. Involve INGOs in provision of NFIs to families in Sahab
Syrians ,Female,Youth,None,,. Early marriage (girls),,. Raise awareness on child rights protection standards and mechanisms; as well as harmful effects of early marriage,. Fear of harassment/violence on route to and from school ,. Increase public security ,. Explore possibility of providing safe transportation to and from school ,. Limited education opportunities ,,. Raise awareness on scholarship opportunities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrians,Female,Adult ,None,FHH,. Early marriage (girls),,. Raise awareness on child rights protection standards and mechanisms; as well as harmful effects of early marriage,. Lack of bail-out documents ,,. Raise awareness among refugees on their rights ,. Inability to pay rent and cover basic needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. (a.) Rent (b.) Quality health care ,,,,,,,,,,,,,,,,,
Syrians,Male ,Youth,None,None,. Early marriage (girls) ,,. Raise awareness on child rights protection standards and mechanisms; as well as harmful effects of early marriage,. Child labour (male youth working to support families),,,. Domestic violence by male heads of households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrians,Male and female,Minors,None,None,. Physical and verbal abuse by students and teachers,,,. School drop among girls and boys to support families ,,,. Exploitation and harassment in the workplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,". (a.) recreational activities (sports, IT) (b.) Education (c.) Return to Syria at the end of the war ",,". Activities through CSC (IT, drawing, music, handicrafts, sports) and establish multiple play areas in Sahab",,,,. Poor quality health care ,,,,,,,,,,,
